model,max_tokens,n_trials,accuracy,acc_lo,acc_hi,quality,q_lo,q_hi,word_count,truncation_rate,latency_ms,cost_usd,efficiency
all,64,158,0.3671,0.2959,0.4446,3.2658,3.1709,3.3544,48.4494,0.7468,3141.8076,0.0024,10295.977
all,128,160,0.5875,0.51,0.6609,4.15,4.0312,4.2687,76.5125,0.8875,3649.4362,0.0027,10585.5474
all,256,157,0.5732,0.495,0.648,4.4841,4.4013,4.5732,92.0,0.9682,4228.1357,0.003,11910.5763
all,512,156,0.5769,0.4985,0.6517,4.4936,4.3974,4.5833,92.5385,0.9295,4294.4205,0.003,11975.531
claude,64,38,0.4474,0.3015,0.6029,3.2632,0,0,45.5789,0.7895,4258.9237,0.004,0
claude,128,40,0.45,0.3071,0.6017,3.45,0,0,85.875,0.775,5490.545,0.005,0
claude,256,37,0.5946,0.4349,0.7365,4.2162,0,0,144.3243,0.8649,7876.9973,0.0065,0
claude,512,36,0.5,0.3447,0.6553,4.1389,0,0,144.75,0.6944,8220.3111,0.0065,0
gpt4o,64,40,0.275,0.1611,0.4284,3.325,0,0,47.975,0.775,2861.1725,0.0051,0
gpt4o,128,40,0.7,0.5457,0.8193,4.7,0,0,55.875,1.0,3049.4925,0.0053,0
gpt4o,256,40,0.55,0.3983,0.6929,4.55,0,0,54.2,1.0,3035.94,0.0053,0
gpt4o,512,40,0.625,0.4703,0.7578,4.625,0,0,55.45,1.0,3028.64,0.0053,0
gpt4o_mini,64,40,0.3,0.1807,0.4543,3.15,0,0,49.95,0.8,2972.545,0.0006,0
gpt4o_mini,128,40,0.675,0.5202,0.7992,4.675,0,0,75.475,1.0,3771.2025,0.0006,0
gpt4o_mini,256,40,0.65,0.4951,0.7787,4.65,0,0,74.625,1.0,3829.4375,0.0006,0
gpt4o_mini,512,40,0.675,0.5202,0.7992,4.675,0,0,75.1,1.0,3687.83,0.0006,0
gemini,64,40,0.45,0.3071,0.6017,3.325,0,0,50.15,0.625,2530.445,0.0001,0
gemini,128,40,0.525,0.375,0.6706,3.775,0,0,88.825,0.775,2286.505,0.0001,0
gemini,256,40,0.5,0.352,0.648,4.5,0,0,98.775,1.0,2443.8325,0.0001,0
gemini,512,40,0.5,0.352,0.648,4.5,0,0,100.075,1.0,2633.49,0.0001,0
