run,model,scene_label,truth,latency_ms,input_tokens,output_tokens,cost_usd,reply,error
1,claude,person_near,hazard,5540.0,936,162,0.005238,"Description: A person is leaning forward in a crouched/bending pose in what appears to be a cluttered indoor room; they appear to occupy a large portion of the frame and look very close to the camera/drone. A white chair is visible to the left side. The YOLO est_dist of ~0.31m for the person is consistent with the visual evidence — the person appears large and close, filling much of the frame.

Proximity: The person visually appears to be within ~0.5–1m of the drone, very close and directly in the flight path at drone altitude. This is a credible near-distance reading confirmed by the image.

Risk: hazard

Pilot suggested action: PITCH_BACK",
1,claude,wall_close,hazard,6072.4,897,174,0.005301,"Description: The image shows a plain, nearly featureless light gray/white wall filling the entire frame; the lens appears unobstructed but the wall is extremely close and dominates the entire field of view. CLIP labels ""person up close"" but no person is visually evident — this is likely a misclassification of the blank wall scene. YOLO reports the wall at ~0.3m, which is consistent with what the image shows: the drone appears to be very close to a flat wall.

Proximity: The wall visually appears to be approximately 0.3–0.5m directly ahead, consistent with the YOLO estimate. The flight path at ~1m altitude is fully blocked by this wall.

Risk: hazard

Pilot suggested action: PITCH_BACK",
1,claude,object_table,caution,5799.8,862,145,0.004761,"Description: A laptop computer is open on a desk/table displaying code, with shelving units and various objects visible in the background; the scene is dimly lit and moderately cluttered with furniture and equipment at floor/shelf level. YOLO detected no specific obstacles, but the CLIP label correctly identifies a cluttered room, consistent with the image.

Proximity: The desk with the laptop appears to be within ~1-1.5m directly ahead, making it a potential obstacle at drone flight altitude (~1m). Background clutter (shelving) is further away at ~2-3m.

Risk: hazard

Pilot suggested action: PITCH_BACK",
1,claude,dim_light,caution,7130.3,900,202,0.00573,"Description: The image shows a cluttered indoor room with heavy green-tinted noise/interference, revealing what appears to be a sofa or couch on the left and a large bright object (possibly a cushion or chair) on the right foreground at approximately drone flight altitude; the scene is quite dark and visually degraded. YOLO reports a ""wall"" spanning nearly the full frame at ~0.3m, which likely reflects the cluttered foreground objects rather than a flat wall — the bounding box heuristic is unreliable here, but the image does confirm objects filling much of the flight corridor.

Proximity: The bright object on the right and the sofa/furniture on the left appear to be within 1–2m, with the right-side object potentially very close (~1m or less), filling a significant portion of the frame at drone flight altitude.

Risk: hazard

Pilot suggested action: HOVER",
1,claude,cluttered,caution,4806.9,862,136,0.004626,"Description: The image shows an indoor industrial or warehouse-like space with white walls/panels, some boxes or equipment at lower levels, and what appears to be a conveyor belt or ramp structure in the foreground at roughly drone altitude. The scene is cluttered with objects and structures that could intersect the ~1m flight corridor.

Proximity: The conveyor/ramp structure in the foreground appears to be within 1-2m and is at or near drone flight altitude, posing a potential obstruction. Background walls are further away (~3-4m).

Risk: hazard

Pilot suggested action: HOVER",
1,claude,door_open,safe,5658.6,897,146,0.004881,"Description: The image shows a large open indoor space (appears to be a warehouse or office building interior) with glass partitions/windows and metal framing visible in the foreground, with an open room extending well beyond. The YOLO-detected window at ~2.46m is consistent with the glass partition visible nearby, but it represents a navigable glass structure with open space beyond, not a blocking obstacle.

Proximity: The glass partition/frame structure appears to be approximately 2-3m ahead, but the space beyond is open and the flight corridor at ~1m altitude appears clear through or around the framing.

Risk: caution

Pilot suggested action: HOVER",
1,claude,person_far,caution,6678.7,936,158,0.005178,"Description: The image shows an industrial/workshop interior with a person standing in the center-background area, shelving units/cabinets behind them, and a white plastic chair to the left foreground. The YOLO estimate of ~0.57m for the person is clearly incorrect — visually the person appears to be approximately 4-6m away based on their small stature and position deep in the room.

Proximity: Person visually ~4-6m away (YOLO distance estimate unreliable here); chair is in the left foreground but appears to be at floor level below drone flight altitude (~1m corridor); the central path ahead appears navigable.

Risk: caution

Pilot suggested action: HOVER",
1,claude,blocked_lens,hazard,4664.9,864,109,0.004227,"Description: The image shows heavy visual noise/static across the entire frame with no discernible scene content visible — this appears to be a fully blocked, covered, or malfunctioning camera lens rather than a dim but navigable environment. CLIP's ""dark or covered lens"" label aligns with this assessment; YOLO detected nothing.

Proximity: Unable to assess — no visual information available to estimate proximity to any obstacle or clear space.

Risk: hazard

Pilot suggested action: HOVER",
1,gpt4o,person_near,hazard,3047.6,802,66,0.005,"Description: The image shows a cluttered room with a person bending forward in the foreground and a chair in the background. The room appears to have various objects and furniture.
Proximity: The person is very close to the drone, likely less than 1 meter away.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
1,gpt4o,wall_close,hazard,2436.5,764,73,0.004915,"Description: The image shows a plain wall with no visible obstacles or objects in the flight path. The scene is well-lit, contradicting the CLIP label suggesting a person up close.
Proximity: The wall appears to be more than 0.3 meters away, likely further based on visual assessment.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
