model,technique,n_trials,accuracy,acc_lo,acc_hi,quality,q_lo,q_hi,latency_ms,cost_usd
all,zero_shot,159,0.4214,0.3474,0.4991,3.8113,3.6478,3.9748,5612.4308,0.0027
all,few_shot_3,158,0.519,0.4416,0.5955,4.038,3.8797,4.1962,4913.5513,0.003
all,cot,156,0.1923,0.1382,0.2612,2.5577,2.4295,2.6861,18437.2013,0.0033
all,structured,159,0.566,0.4883,0.6406,4.3711,4.2327,4.4969,9342.5189,0.0028
all,react,158,0.4304,0.3557,0.5083,3.7152,3.538,3.8797,5831.6437,0.0031
claude,zero_shot,39,0.4103,0.2708,0.5658,2.6154,2.3846,2.8718,9552.6718,0.0063
claude,few_shot_3,38,0.3684,0.2338,0.5272,2.6842,2.4211,2.9737,9695.6947,0.0068
claude,cot,36,0.0556,0.0154,0.1814,2.0556,2.0,2.1389,8919.3833,0.0066
claude,structured,39,0.4359,0.293,0.5902,3.6923,3.3077,4.0769,7719.4795,0.0061
claude,react,38,0.2105,0.1107,0.3635,2.2368,2.1053,2.3947,9766.8263,0.0066
gpt4o,zero_shot,40,0.5,0.352,0.648,4.425,4.275,4.575,2984.16,0.0039
gpt4o,few_shot_3,40,0.675,0.5202,0.7992,4.6,4.45,4.75,2988.815,0.0048
gpt4o,cot,40,0.525,0.375,0.6706,3.65,3.45,3.875,4170.245,0.0062
gpt4o,structured,40,0.7,0.5457,0.8193,4.7,4.55,4.825,3020.1,0.0045
gpt4o,react,40,0.45,0.3071,0.6017,4.35,4.125,4.55,3516.9725,0.0052
gpt4o_mini,zero_shot,40,0.525,0.375,0.6706,4.5,4.35,4.65,7061.7775,0.0006
gpt4o_mini,few_shot_3,40,0.475,0.3294,0.625,4.375,4.15,4.575,4806.5625,0.0006
gpt4o_mini,cot,40,0.175,0.0875,0.3195,2.475,2.3244,2.65,56174.0425,0.0007
gpt4o_mini,structured,40,0.625,0.4703,0.7578,4.625,4.475,4.775,23403.535,0.0006
gpt4o_mini,react,40,0.425,0.2851,0.5781,4.375,4.2,4.55,7393.155,0.0006
gemini,zero_shot,40,0.25,0.1419,0.4019,3.675,3.4,3.95,2949.62,0.0001
gemini,few_shot_3,40,0.55,0.3983,0.6929,4.425,4.225,4.6,2402.24,0.0001
gemini,cot,40,0.0,0.0,0.0876,2.0,2.0,2.0,3533.3525,0.0001
gemini,structured,40,0.5,0.352,0.648,4.45,4.275,4.625,3186.385,0.0001
gemini,react,40,0.625,0.4703,0.7578,3.825,3.55,4.1,2846.38,0.0001
