model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
claude,person_near,hazard,1,0.24,29.89,hazard,441.29,6686.3,7157.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,974,180,0.005622,"Description: A person is standing directly in front of the drone with both arms raised, appearing to be in close proximity within what looks like a workshop or storage room environment with shelving and equipment visible in the background.
Sensor note: The local detector estimates 0.24m which seems too close given the visual — the person appears to be roughly 1.5–2.5m away based on their apparent size relative to the frame, though still within the hazard threshold. The wall detection at 0.45m is plausible given the cluttered background.
Proximity: Person visually estimated at approximately 1.5–2m away; closer than the safe threshold of 3m, and the raised arms could further encroach on the ~1m flight corridor.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,person_near,hazard,1,0.24,29.89,hazard,441.29,79779.2,80250.6,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,75,0.00507,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being very close is consistent with the image.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_near,hazard,1,0.24,29.89,hazard,441.29,4800.9,5272.3,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,133,0.000613,"Description: The image shows a person standing in a room with various objects around, including a chair and what appears to be furniture in the background. The person is relatively close to the drone's flight path. 

Sensor note: The local detector identified a person with a confidence of 0.455, which aligns with my visual analysis. However, the YOLO detection of a wall has a low confidence of 0.28, indicating potential uncertainty in the environment.

Proximity: The closest object/person is the individual, estimated to be about 0.24m away based on the local detector's data.

Risk: hazard

Pilot suggested action: HOVER",
gemini,person_near,hazard,1,0.24,29.89,hazard,441.29,2154.4,2625.8,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,124,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_near,hazard,2,0.66,38.31,hazard,292.87,7142.2,7474.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,974,217,0.006177,"Description: A person is standing approximately 2–3 metres away in what appears to be an indoor workshop or storage room, with arms raised and hands visible; the space behind them contains shelving and a doorway, but the person directly occupies the forward flight path.
Sensor note: Local detector reports est_dist=0.24m which appears to be a significant overestimate of closeness — visually the person looks to be roughly 2–3m away, not 0.24m; however, the person is clearly present and centrally positioned in the frame, consistent with detection. Wall depth at 0.45m seems inconsistent with the visual scene depth.
Proximity: Closest object is the person, visually estimated at ~2–2.5m; this conflicts with the 0.24m geometric fallback (likely erroneous bbox heuristic) but the person is unambiguously in the flight corridor.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,person_near,hazard,2,0.66,38.31,hazard,292.87,2354.7,2686.5,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,80,0.005145,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being 0.24m away is consistent with the visual analysis.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_near,hazard,2,0.66,38.31,hazard,292.87,3581.2,3913.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,86,0.000585,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis.
Proximity: The closest object/person is approximately 0.24m away.
Risk: hazard
Pilot suggested action: HOVER",
gemini,person_near,hazard,2,0.66,38.31,hazard,292.87,2078.2,2410.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,124,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_near,hazard,3,0.54,30.54,hazard,259.15,5930.3,6220.5,0,yolo-world,disabled,disabled,0.0,hazard,1,5,974,170,0.005472,"Description: A person is standing directly in front of the camera at close range (estimated 1–2m), arms raised, in what appears to be an indoor workshop or storage area with shelving and clutter in the background.
Sensor note: The local detector estimates 0.24m which appears too close given visual context, but a person is clearly present and close — likely within 1–2m. The wall detection at 0.45m is plausible for background clutter. Overall consistent with a person being a primary hazard.
Proximity: Person visually estimated at approximately 1–1.5m directly ahead, well within the hazard threshold of <1m–2m blocking the forward flight path.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,person_near,hazard,3,0.54,30.54,hazard,259.15,2455.8,2746.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,75,0.00507,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being very close is consistent with the image.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
