scene_id,scene_label,truth,model,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,detected_action,word_count,yolo_meta,clip_label,clip_risk,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,1,5,1,1,1,1,1,hazard,PITCH_BACK,113,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,8468.9,936,162,0.005238,
1,person_near,hazard,gpt4o,1,5,1,1,1,1,1,hazard,PITCH_BACK,49,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,2940.4,802,64,0.00497,
1,person_near,hazard,gpt4o_mini,1,4,1,1,0,1,1,caution,HOVER,86,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,3303.5,3569,118,0.000606,
1,person_near,hazard,gemini,1,5,1,1,1,1,1,hazard,PITCH_BACK,61,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,3280.4,1018,94,0.000105,
1,person_near,hazard,claude,2,5,1,1,1,1,1,hazard,PITCH_BACK,105,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,5470.9,936,161,0.005223,
1,person_near,hazard,gpt4o,2,5,1,1,1,1,1,hazard,PITCH_BACK,60,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,4302.1,802,81,0.005225,
1,person_near,hazard,gpt4o_mini,2,4,1,1,0,1,1,caution,HOVER,85,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,3480.5,3569,117,0.000606,
1,person_near,hazard,gemini,2,5,1,1,1,1,1,hazard,PITCH_BACK,61,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,3557.0,1018,94,0.000105,
1,person_near,hazard,claude,3,5,1,1,1,1,1,hazard,PITCH_BACK,93,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,4989.2,936,140,0.004908,
1,person_near,hazard,gpt4o,3,5,1,1,1,1,1,hazard,PITCH_BACK,63,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,2762.4,802,82,0.00524,
