scene_id,scene_label,truth,model,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,detected_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,1,5,1,1,1,1,1,hazard,STOP,97,6453.8,297,147,0.003096,
1,person_near,hazard,gpt4o,1,4,1,1,0,1,1,caution,HOLD,40,2618.9,226,53,0.001925,
1,person_near,hazard,gpt4o_mini,1,4,1,1,0,1,1,caution,SLOW_DOWN,50,2805.9,2993,68,0.00049,
1,person_near,hazard,gemini,1,5,1,1,1,1,1,hazard,STOP,45,2576.0,415,60,4.9e-05,
1,person_near,hazard,claude,2,5,1,1,1,1,1,hazard,STOP,97,6453.8,297,147,0.003096,
1,person_near,hazard,gpt4o,2,4,1,1,0,1,1,caution,HOLD,40,2618.9,226,53,0.001925,
1,person_near,hazard,gpt4o_mini,2,4,1,1,0,1,1,caution,SLOW_DOWN,50,2805.9,2993,68,0.00049,
1,person_near,hazard,gemini,2,5,1,1,1,1,1,hazard,STOP,45,2576.0,415,60,4.9e-05,
1,person_near,hazard,claude,3,5,1,1,1,1,1,hazard,STOP,125,6778.1,331,189,0.003828,
1,person_near,hazard,gpt4o,3,4,1,1,0,1,1,caution,SLOW_DOWN,38,3272.8,258,55,0.002115,
1,person_near,hazard,gpt4o_mini,3,4,1,1,0,1,1,caution,SLOW_DOWN,47,2760.6,3025,67,0.000494,
1,person_near,hazard,gemini,3,5,1,1,1,1,1,hazard,STOP,49,3173.2,458,65,5.4e-05,
1,person_near,hazard,claude,4,5,1,1,1,1,1,hazard,STOP,100,6357.5,331,154,0.003303,
1,person_near,hazard,gpt4o,4,4,1,1,0,1,1,caution,HOLD,39,3582.0,258,53,0.002085,
1,person_near,hazard,gpt4o_mini,4,4,1,1,0,1,1,caution,SLOW_DOWN,51,2951.1,3025,68,0.000495,
1,person_near,hazard,gemini,4,5,1,1,1,1,1,hazard,STOP,55,2450.0,459,72,5.6e-05,
1,person_near,hazard,claude,5,5,1,1,1,1,1,hazard,STOP,111,6046.9,331,162,0.003423,
