model,technique,n_trials,accuracy,acc_lo,acc_hi,quality,q_lo,q_hi,latency_ms,cost_usd
all,zero_shot,158,0.3861,0.3137,0.4638,3.8165,3.6582,3.9747,8460.7633,0.0027
all,few_shot_3,159,0.5157,0.4386,0.5921,4.0755,3.9182,4.2264,4459.5434,0.003
all,cot,159,0.1824,0.1301,0.2497,2.5409,2.4151,2.6792,5296.361,0.0034
all,structured,158,0.4747,0.3983,0.5522,4.2722,4.1392,4.3989,4122.2994,0.0028
all,react,159,0.3962,0.3235,0.4738,3.673,3.5157,3.8303,4877.7623,0.0031
claude,zero_shot,38,0.2895,0.17,0.4476,2.4211,2.2368,2.6316,9814.8368,0.0062
claude,few_shot_3,39,0.359,0.2274,0.5158,2.6923,2.4359,2.9744,9753.1538,0.0068
claude,cot,39,0.0513,0.0142,0.1689,2.0513,2.0,2.1282,9104.0513,0.0066
claude,structured,38,0.2895,0.17,0.4476,3.5263,3.1579,3.8947,8229.5237,0.0061
claude,react,39,0.2051,0.1078,0.3553,2.2308,2.1026,2.3846,9767.2205,0.0065
gpt4o,zero_shot,40,0.5,0.352,0.648,4.425,4.275,4.575,18042.1625,0.004
gpt4o,few_shot_3,40,0.65,0.4951,0.7787,4.65,4.5,4.8,2893.655,0.0048
gpt4o,cot,40,0.575,0.4219,0.7149,3.725,3.525,3.95,3981.395,0.0061
gpt4o,structured,40,0.6,0.446,0.7365,4.6,4.45,4.75,2742.0975,0.0045
gpt4o,react,40,0.375,0.2422,0.5297,4.35,4.175,4.525,3212.135,0.0051
gpt4o_mini,zero_shot,40,0.525,0.375,0.6706,4.525,4.375,4.675,3232.41,0.0006
gpt4o_mini,few_shot_3,40,0.475,0.3294,0.625,4.475,4.325,4.625,2821.1625,0.0006
gpt4o_mini,cot,40,0.1,0.0396,0.2305,2.375,2.225,2.55,4949.325,0.0007
gpt4o_mini,structured,40,0.5,0.352,0.648,4.5,4.35,4.65,3102.3125,0.0006
gpt4o_mini,react,40,0.45,0.3071,0.6017,4.375,4.2,4.5506,3674.8075,0.0006
gemini,zero_shot,40,0.225,0.1232,0.375,3.825,3.6,4.025,2821.3475,0.0001
gemini,few_shot_3,40,0.575,0.4219,0.7149,4.45,4.275,4.625,2502.5425,0.0001
gemini,cot,40,0.0,0.0,0.0876,2.0,2.0,2.0,3245.865,0.0001
gemini,structured,40,0.5,0.352,0.648,4.425,4.225,4.625,2620.625,0.0001
gemini,react,40,0.55,0.3983,0.6929,3.7,3.45,3.95,2979.1225,0.0001
