history_mode,model,n_trials,risk_accuracy,acc_lo,acc_hi,change_detect,cd_lo,cd_hi,mean_input_tokens,latency_ms,cost_usd
stateless,claude,25,0.28,0.1428,0.4758,0.5,0.2366,0.7634,429.56,9485.956,0.0058
stateless,gpt4o,25,0.64,0.4452,0.7975,0.7,0.3968,0.8922,342.48,3147.648,0.0034
stateless,gpt4o_mini,25,0.04,0.0071,0.1954,0.5,0.2366,0.7634,3109.48,5173.476,0.0005
stateless,gemini,25,0.44,0.2667,0.6293,0.5,0.2366,0.7634,550.24,3415.332,0.0001
short,claude,25,0.4,0.234,0.5926,0.5,0.2366,0.7634,472.28,9208.464,0.0059
short,gpt4o,25,0.68,0.4841,0.828,0.7,0.3968,0.8922,377.92,3083.844,0.0033
short,gpt4o_mini,25,0.32,0.172,0.5159,0.7,0.3968,0.8922,3146.4,4417.976,0.0005
short,gemini,25,0.6,0.4074,0.766,0.9,0.5958,0.9821,586.8,2529.148,0.0001
full,claude,24,0.4167,0.2447,0.6117,0.5,0.2366,0.7634,490.1667,9847.6208,0.006
full,gpt4o,25,0.72,0.5242,0.8572,0.7,0.3968,0.8922,390.8,2942.816,0.0033
full,gpt4o_mini,25,0.28,0.1428,0.4758,0.5,0.2366,0.7634,3161.48,7049.552,0.0005
full,gemini,25,0.64,0.4452,0.7975,0.8,0.4902,0.9433,600.16,2429.032,0.0001
