history_mode,model,n_trials,risk_accuracy,acc_lo,acc_hi,change_detect,cd_lo,cd_hi,mean_input_tokens,latency_ms,cost_usd
stateless,claude,25,0.36,0.2025,0.5548,0.5,0.2366,0.7634,429.56,9847.576,0.0058
stateless,gpt4o,25,0.88,0.7004,0.9583,0.9,0.5958,0.9821,342.48,3260.656,0.0033
stateless,gpt4o_mini,25,0.04,0.0071,0.1954,0.6,0.3127,0.8318,3109.48,8562.492,0.0005
stateless,gemini,25,0.44,0.2667,0.6293,0.6,0.3127,0.8318,550.24,2864.464,0.0001
short,claude,23,0.4348,0.2563,0.6319,0.5,0.2366,0.7634,472.4348,9620.9913,0.0059
short,gpt4o,25,0.76,0.5657,0.885,0.7,0.3968,0.8922,377.24,2866.508,0.0032
short,gpt4o_mini,25,0.48,0.3003,0.665,0.6,0.3127,0.8318,3146.4,28532.888,0.0005
short,gemini,25,0.68,0.4841,0.828,0.9,0.5958,0.9821,586.4,2552.252,0.0001
full,claude,24,0.375,0.2116,0.5729,0.4444,0.1888,0.7334,488.0417,9505.0208,0.0059
full,gpt4o,25,0.6,0.4074,0.766,0.6,0.3127,0.8318,391.24,2759.764,0.0033
full,gpt4o_mini,25,0.44,0.2667,0.6293,0.5,0.2366,0.7634,3160.16,8044.876,0.0005
full,gemini,25,0.6,0.4074,0.766,0.7,0.3968,0.8922,600.12,2354.204,0.0001
