condition,model,scene_label,truth,run,yolo_type,yolo_meta,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,reply,error
yolo_enhanced_only,yolo_enhanced,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,1,0,0,1,0,0,0,56.81,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,1,0,0,1,0,0,0,56.64,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,1,0,0,1,0,0,0,57.37,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,1,0,0,1,0,0,0,54.88,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,1,0,0,1,0,0,0,57.12,0,0,0.0,,
llm_only,claude,person_near,hazard,1,,,,,0.0,hazard,1,5,1,1,1,1,1,49,4376.9,274,76,0.001962,"Description: A person is leaning forward aggressively in what appears to be an indoor workspace or workshop environment, possibly moving toward the camera/drone.
Proximity: The person appears to be very close, estimated 1–2 meters from the drone based on their size in frame.
Risk: hazard
Pilot suggested action: LAND",
llm_only,gpt4o,person_near,hazard,1,,,,,0.0,caution,0,4,1,1,0,1,1,48,3240.5,207,60,0.001935,"Description: The image shows a person standing indoors, leaning forward with hands behind their back. There is a plastic chair and some furniture in the background.
Proximity: The person appears to be very close to the camera, possibly within a few feet.
Risk: caution
Pilot suggested action: HOLD",
llm_only,gpt4o_mini,person_near,hazard,1,,,,,0.0,caution,0,4,1,1,0,1,1,52,2495.6,2974,68,0.000487,"Description: The image shows a person bending forward in a dimly lit indoor environment, with some furniture visible in the background, including a chair and what appears to be a desk or table.  
Proximity: The person seems to be within a few meters of the camera.  
Risk: caution  
Pilot suggested action: SLOW_DOWN",
llm_only,gemini,person_near,hazard,1,,,,,0.0,caution,0,4,1,1,0,1,1,54,2377.8,398,75,5.2e-05,"Description: A person is standing in what appears to be an indoor setting, possibly a workshop or office, with various objects and furniture in the background. The image quality is poor, making details difficult to discern.
Proximity: The person appears to be within 5-10 feet of the drone.
Risk: caution
Pilot suggested action: SLOW_DOWN",
llm_only,claude,person_near,hazard,2,,,,,0.0,hazard,1,5,1,1,1,1,1,59,3712.0,274,88,0.002142,"Description: A person is leaning forward in what appears to be an indoor workspace or shop, positioned centrally in the frame and appearing to be in motion or bending down.
Proximity: The person appears to be very close to the camera/drone, estimated at approximately 1–2 meters, occupying a large portion of the frame.
Risk: hazard
Pilot suggested action: STOP",
