scene_id,scene_label,truth,model,condition,run,quality_score,s3_risk,detected_risk,word_count,latency_ms,call2_latency_ms,input_tokens,call2_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,react_agentic,1,4,1,hazard,74,14219.3,4502.6,650,463,450,0.0087,
1,person_near,hazard,gpt4o,react_agentic,1,3,0,caution,54,5327.6,1930.7,437,300,231,0.00565,
1,person_near,hazard,gpt4o_mini,react_agentic,1,1,0,caution,6,6531.0,1511.6,3224,320,191,0.000599,
1,person_near,hazard,gemini,react_agentic,1,1,0,caution,6,5145.8,819.0,776,452,310,0.000151,
1,person_near,hazard,claude,react_agentic,2,5,1,hazard,84,13901.2,4607.8,642,455,445,0.008601,
1,person_near,hazard,gpt4o,react_agentic,2,3,0,caution,78,6141.6,2662.0,467,330,288,0.006655,
1,person_near,hazard,gpt4o_mini,react_agentic,2,1,0,caution,6,5552.7,1047.2,3203,299,170,0.000582,
1,person_near,hazard,gemini,react_agentic,2,1,0,caution,6,4280.6,921.0,776,452,310,0.000151,
1,person_near,hazard,claude,react_agentic,3,3,0,caution,75,14001.5,4556.6,649,462,450,0.008697,
1,person_near,hazard,gpt4o,react_agentic,3,4,0,caution,79,6552.7,2211.4,484,347,308,0.00704,
1,person_near,hazard,gpt4o_mini,react_agentic,3,3,0,caution,35,7167.8,2357.2,3230,326,233,0.000624,
1,person_near,hazard,gemini,react_agentic,3,1,0,caution,6,4814.8,1331.0,768,444,302,0.000148,
1,person_near,hazard,claude,react_agentic,4,3,0,caution,79,14211.0,5427.0,650,463,450,0.0087,
1,person_near,hazard,gpt4o,react_agentic,4,4,0,caution,75,5426.2,2356.6,465,328,279,0.00651,
1,person_near,hazard,gpt4o_mini,react_agentic,4,1,0,caution,6,7063.5,1842.4,3237,333,204,0.000608,
1,person_near,hazard,gemini,react_agentic,4,1,0,caution,6,4893.0,1324.9,776,452,310,0.000151,
1,person_near,hazard,claude,react_agentic,5,3,0,caution,79,13504.0,4916.6,650,463,450,0.0087,
1,person_near,hazard,gpt4o,react_agentic,5,4,0,caution,70,5015.5,2049.7,444,307,254,0.00603,
1,person_near,hazard,gpt4o_mini,react_agentic,5,1,0,caution,6,8497.0,1126.3,3284,380,253,0.000645,
1,person_near,hazard,gemini,react_agentic,5,1,0,caution,6,4304.1,921.0,776,452,310,0.000151,
4,dim_light,caution,claude,react_agentic,1,3,0,,76,14719.8,5324.4,652,465,450,0.008706,
4,dim_light,caution,gpt4o,react_agentic,1,3,0,hazard,80,6756.0,2617.0,561,424,388,0.008625,
4,dim_light,caution,gpt4o_mini,react_agentic,1,3,0,hazard,48,7326.7,1929.6,3251,347,267,0.000647,
4,dim_light,caution,gemini,react_agentic,1,2,1,caution,6,5259.7,1320.0,776,452,310,0.000151,
4,dim_light,caution,claude,react_agentic,2,3,0,,85,14925.9,5529.5,647,460,448,0.008661,
4,dim_light,caution,gpt4o,react_agentic,2,4,0,hazard,65,5595.8,1912.0,498,361,298,0.00696,
4,dim_light,caution,gpt4o_mini,react_agentic,2,3,0,hazard,46,8942.1,2150.5,3272,368,287,0.000663,
4,dim_light,caution,gemini,react_agentic,2,1,0,hazard,6,4916.8,1635.3,776,452,310,0.000151,
4,dim_light,caution,claude,react_agentic,3,4,0,hazard,88,15255.8,5142.7,653,466,450,0.008709,
4,dim_light,caution,gpt4o,react_agentic,3,4,0,hazard,68,6566.2,2294.1,558,421,370,0.00834,
4,dim_light,caution,gpt4o_mini,react_agentic,3,2,1,caution,8,7166.0,1184.8,3256,352,225,0.000623,
4,dim_light,caution,gemini,react_agentic,3,2,1,caution,6,5599.4,1024.5,776,452,310,0.000151,
4,dim_light,caution,claude,react_agentic,4,4,0,hazard,82,14927.5,4710.1,652,465,450,0.008706,
4,dim_light,caution,gpt4o,react_agentic,4,4,0,hazard,111,6653.7,2355.3,581,444,450,0.009655,
4,dim_light,caution,gpt4o_mini,react_agentic,4,3,1,caution,39,8191.4,2252.8,3229,325,242,0.000629,
4,dim_light,caution,gemini,react_agentic,4,2,1,caution,6,4816.1,1535.1,776,452,310,0.000151,
4,dim_light,caution,claude,react_agentic,5,3,0,safe,93,17382.5,5731.0,652,465,450,0.008706,
4,dim_light,caution,gpt4o,react_agentic,5,4,0,hazard,56,5632.8,2150.5,483,346,276,0.006555,
4,dim_light,caution,gpt4o_mini,react_agentic,5,4,1,caution,55,9705.0,2537.1,3266,362,297,0.000668,
4,dim_light,caution,gemini,react_agentic,5,1,0,hazard,6,4327.4,1433.3,776,452,310,0.000151,
6,door_open,safe,claude,react_agentic,1,4,0,hazard,82,14001.6,5120.1,649,462,450,0.008697,
6,door_open,safe,gpt4o,react_agentic,1,5,1,safe,50,5733.3,2037.8,525,388,316,0.007365,
6,door_open,safe,gpt4o_mini,react_agentic,1,5,1,safe,39,9885.6,1747.4,3308,404,321,0.000689,
6,door_open,safe,gemini,react_agentic,1,1,0,caution,6,5308.9,958.9,775,451,310,0.000151,
