model,technique,n_trials,accuracy,acc_lo,acc_hi,quality,q_lo,q_hi,latency_ms,cost_usd
all,zero_shot,160,0.4437,0.369,0.5212,3.8,3.6938,3.9125,4738.9113,0.0018
all,few_shot_3,158,0.3861,0.3137,0.4638,4.1772,4.0696,4.2785,4266.8411,0.0018
all,cot,158,0.3734,0.3018,0.451,3.9367,3.8228,4.0506,5435.5816,0.0021
all,structured,160,0.3187,0.2515,0.3945,4.3187,4.2438,4.3937,3559.3125,0.0014
all,react,160,0.375,0.3037,0.4521,3.8312,3.7125,3.9438,5089.6556,0.0022
claude,zero_shot,40,0.375,0.2422,0.5297,3.4,3.25,3.575,9499.7375,0.005
claude,few_shot_3,38,0.3421,0.2121,0.5011,3.6842,3.4737,3.9211,8661.1184,0.0046
claude,cot,38,0.3684,0.2338,0.5272,3.3421,3.1842,3.5,9833.85,0.0056
claude,structured,40,0.35,0.2213,0.5049,4.35,4.225,4.5,5104.3875,0.0028
claude,react,40,0.35,0.2213,0.5049,3.075,2.875,3.275,10181.0175,0.0056
gpt4o,zero_shot,40,0.425,0.2851,0.5781,3.8,3.6,4.0,3403.555,0.0015
gpt4o,few_shot_3,40,0.575,0.4219,0.7149,4.475,4.3,4.65,3519.29,0.0023
gpt4o,cot,40,0.45,0.3071,0.6017,4.45,4.3,4.6,4191.0775,0.0026
gpt4o,structured,40,0.3,0.1807,0.4543,4.3,4.175,4.45,3838.39,0.0022
gpt4o,react,40,0.275,0.1611,0.4284,3.725,3.525,3.925,4177.615,0.0027
gpt4o_mini,zero_shot,40,0.375,0.2422,0.5297,3.75,3.525,3.975,2653.335,0.0005
gpt4o_mini,few_shot_3,40,0.375,0.2422,0.5297,4.325,4.15,4.5,2787.7725,0.0005
gpt4o_mini,cot,40,0.325,0.2008,0.4798,4.225,4.075,4.4,4868.1625,0.0005
gpt4o_mini,structured,40,0.3,0.1807,0.4543,4.3,4.175,4.45,2832.34,0.0005
gpt4o_mini,react,40,0.45,0.3071,0.6017,4.25,4.125,4.375,3264.105,0.0005
gemini,zero_shot,40,0.6,0.446,0.7365,4.25,4.025,4.475,3399.0175,0.0001
gemini,few_shot_3,40,0.25,0.1419,0.4019,4.2,4.1,4.325,2318.8975,0.0001
gemini,cot,40,0.35,0.2213,0.5049,3.7,3.5,3.925,3069.15,0.0001
gemini,structured,40,0.325,0.2008,0.4798,4.325,4.175,4.475,2462.1325,0.0001
gemini,react,40,0.425,0.2851,0.5781,4.275,4.1,4.45,2735.885,0.0001
