model,temperature,n_trials,accuracy,acc_lo,acc_hi,quality,label_flip_rate,latency_ms,cost_usd
all,0.0,160,0.6125,0.5352,0.6845,4.4875,0.1406,9453.4031,0.0032
all,0.2,160,0.5938,0.5163,0.6668,4.475,0.2188,9478.7944,0.0032
all,0.5,157,0.5159,0.4383,0.5928,4.4076,0.3073,13532.528,0.0031
all,0.8,160,0.5813,0.5038,0.6549,4.4437,0.2031,9790.4269,0.0032
all,1.0,159,0.566,0.4883,0.6406,4.4277,0.3177,13239.9157,0.0031
claude,0.0,40,0.475,0.3294,0.625,3.975,0.2812,8255.475,0.0067
claude,0.2,40,0.5,0.352,0.648,4.025,0.2812,8274.815,0.0067
claude,0.5,37,0.4865,0.3345,0.6411,4.027,0.3542,9146.6973,0.0066
claude,0.8,40,0.65,0.4951,0.7787,4.1,0.125,8300.5475,0.0068
claude,1.0,39,0.5641,0.4098,0.707,4.1026,0.5,8223.6974,0.0066
gpt4o,0.0,40,0.7,0.5457,0.8193,4.7,0.1562,3422.6775,0.0053
gpt4o,0.2,40,0.75,0.5981,0.8581,4.75,0.2188,3254.1325,0.0052
gpt4o,0.5,40,0.6,0.446,0.7365,4.6,0.3438,3583.6775,0.0053
gpt4o,0.8,40,0.675,0.5202,0.7992,4.675,0.3125,3442.715,0.0053
gpt4o,1.0,40,0.75,0.5981,0.8581,4.75,0.1875,3321.19,0.0053
gpt4o_mini,0.0,40,0.775,0.625,0.8768,4.775,0.125,23424.76,0.0006
gpt4o_mini,0.2,40,0.65,0.4951,0.7787,4.65,0.3125,24093.825,0.0006
gpt4o_mini,0.5,40,0.5,0.352,0.648,4.5,0.4688,38791.9925,0.0006
gpt4o_mini,0.8,40,0.55,0.3983,0.6929,4.55,0.2812,25212.155,0.0006
gpt4o_mini,1.0,40,0.5,0.352,0.648,4.4,0.3646,38941.1125,0.0006
gemini,0.0,40,0.5,0.352,0.648,4.5,0.0,2710.7,0.0001
gemini,0.2,40,0.475,0.3294,0.625,4.475,0.0625,2292.405,0.0001
gemini,0.5,40,0.475,0.3294,0.625,4.475,0.0625,2278.8075,0.0001
gemini,0.8,40,0.45,0.3071,0.6017,4.45,0.0938,2206.29,0.0001
gemini,1.0,40,0.45,0.3071,0.6017,4.45,0.2188,2348.2575,0.0001
