t_s,roll_deg,pitch_deg,roll_error_deg,pitch_error_deg
13.765,-0.215,0.393,0.2158,-0.3887
13.77,-0.212,0.392,0.215,-0.3926
13.775,-0.205,0.393,0.2124,-0.3916
13.78,-0.207,0.386,0.2049,-0.3928
13.785,-0.2,0.385,0.2073,-0.3857
13.79,-0.204,0.378,0.1996,-0.3847
13.795,-0.206,0.376,0.2037,-0.3778
13.8,-0.2,0.38,0.2059,-0.3761
13.805,-0.2,0.384,0.2002,-0.3799
13.81,-0.202,0.386,0.2,-0.3837
13.815,-0.2,0.387,0.2017,-0.386
13.82,-0.199,0.388,0.1998,-0.3872
13.825,-0.197,0.392,0.1986,-0.3876
13.83,-0.199,0.394,0.1969,-0.3922
13.835,-0.193,0.393,0.1988,-0.3941
13.84,-0.196,0.39,0.193,-0.3926
13.845,-0.201,0.384,0.1959,-0.39
13.85,-0.204,0.379,0.2006,-0.3842
13.855,-0.204,0.375,0.2036,-0.379
13.86,-0.202,0.378,0.2039,-0.3752
13.865,-0.202,0.378,0.2022,-0.3778
13.87,-0.201,0.372,0.2023,-0.3776
13.875,-0.201,0.372,0.2011,-0.3717
13.88,-0.195,0.371,0.2007,-0.3716
13.885,-0.186,0.374,0.1954,-0.3711
13.89,-0.183,0.377,0.1855,-0.3736
13.895,-0.182,0.38,0.1825,-0.3769
13.9,-0.195,0.379,0.1821,-0.38
13.905,-0.195,0.379,0.1945,-0.379
13.91,-0.195,0.38,0.195,-0.3787
13.915,-0.203,0.372,0.1951,-0.3796
13.92,-0.204,0.371,0.2032,-0.3719
13.925,-0.207,0.369,0.2044,-0.3706
13.93,-0.204,0.37,0.2067,-0.3694
13.935,-0.207,0.371,0.2037,-0.3696
13.94,-0.211,0.371,0.207,-0.371
13.945,-0.209,0.373,0.2108,-0.3706
13.95,-0.215,0.37,0.2087,-0.3726
13.955,-0.224,0.369,0.2149,-0.3701
13.96,-0.223,0.367,0.2243,-0.3687
13.965,-0.222,0.365,0.2225,-0.3666
13.97,-0.214,0.367,0.2225,-0.3648
13.975,-0.209,0.367,0.2138,-0.3673
13.98,-0.205,0.372,0.2087,-0.3671
13.985,-0.206,0.367,0.2054,-0.3725
13.99,-0.204,0.366,0.2065,-0.3666
13.995,-0.207,0.368,0.2042,-0.3665
14.0,-0.211,0.371,0.207,-0.3681
14.005,-0.217,0.373,0.211,-0.3713
14.01,-0.222,0.378,0.2172,-0.3726
14.015,-0.221,0.376,0.2223,-0.3778
14.02,-0.228,0.375,0.221,-0.3764
14.025,-0.226,0.375,0.2281,-0.3747
14.03,-0.227,0.376,0.2262,-0.375
14.035,-0.222,0.372,0.2271,-0.3762
14.04,-0.224,0.37,0.2217,-0.372
14.045,-0.226,0.364,0.224,-0.3704
14.05,-0.216,0.361,0.2256,-0.3644
14.055,-0.211,0.358,0.2164,-0.361
14.06,-0.199,0.36,0.2107,-0.3585
14.065,-0.193,0.362,0.1989,-0.3604
14.07,-0.197,0.37,0.1927,-0.3625
14.075,-0.196,0.374,0.1966,-0.3699
14.08,-0.198,0.374,0.1958,-0.3738
14.085,-0.192,0.375,0.198,-0.3744
14.09,-0.191,0.374,0.1921,-0.3751
14.095,-0.2,0.371,0.1911,-0.3739
14.1,-0.2,0.367,0.2003,-0.3705
14.105,-0.205,0.366,0.1998,-0.367
14.11,-0.202,0.369,0.2049,-0.3661
14.115,-0.202,0.366,0.2021,-0.3686
14.12,-0.204,0.367,0.2021,-0.3659
14.125,-0.212,0.357,0.2036,-0.367
14.13,-0.212,0.353,0.2124,-0.3569
14.135,-0.209,0.353,0.2118,-0.3527
14.14,-0.205,0.361,0.2093,-0.3527
14.145,-0.208,0.355,0.2055,-0.3615
14.15,-0.205,0.353,0.2077,-0.3546
14.155,-0.2,0.358,0.2053,-0.3528
14.16,-0.201,0.362,0.2004,-0.358
14.165,-0.197,0.363,0.2014,-0.362
14.17,-0.206,0.361,0.1974,-0.3625
14.175,-0.201,0.368,0.2055,-0.3615
14.18,-0.2,0.376,0.2011,-0.3683
14.185,-0.202,0.377,0.2005,-0.3759
14.19,-0.199,0.384,0.2024,-0.3768
14.195,-0.202,0.383,0.1991,-0.3845
14.2,-0.197,0.382,0.2015,-0.3827
14.205,-0.205,0.373,0.1968,-0.3824
14.21,-0.204,0.371,0.2053,-0.3731
14.215,-0.21,0.364,0.2041,-0.3714
14.22,-0.215,0.358,0.2105,-0.3641
14.225,-0.219,0.353,0.2153,-0.3581
14.23,-0.225,0.349,0.2191,-0.3535
14.235,-0.225,0.352,0.2254,-0.3491
14.24,-0.231,0.353,0.2254,-0.3522
14.245,-0.236,0.358,0.2312,-0.353
14.25,-0.234,0.359,0.2363,-0.3582
14.255,-0.238,0.361,0.2337,-0.3585
14.26,-0.242,0.36,0.2381,-0.3607
14.265,-0.242,0.364,0.2415,-0.3605
14.27,-0.239,0.367,0.2421,-0.3635
14.275,-0.232,0.369,0.2387,-0.3666
14.28,-0.236,0.363,0.232,-0.3685
14.285,-0.229,0.365,0.2357,-0.3631
14.29,-0.227,0.362,0.2286,-0.3646
14.295,-0.224,0.36,0.2266,-0.3615
14.3,-0.228,0.36,0.2243,-0.3601
14.305,-0.227,0.363,0.2283,-0.3605
14.31,-0.224,0.357,0.2267,-0.3628
14.315,-0.225,0.359,0.2235,-0.3574
14.32,-0.225,0.365,0.225,-0.3593
14.325,-0.228,0.368,0.2246,-0.3647
14.33,-0.229,0.375,0.2283,-0.3675
14.335,-0.231,0.374,0.2293,-0.3749
14.34,-0.232,0.38,0.2307,-0.3744
14.345,-0.239,0.382,0.2318,-0.3799
14.35,-0.239,0.376,0.2394,-0.3817
14.355,-0.23,0.377,0.2386,-0.3762
14.36,-0.227,0.379,0.2303,-0.3766
14.365,-0.223,0.378,0.2268,-0.3788
14.37,-0.224,0.371,0.2233,-0.3785
14.375,-0.222,0.371,0.2241,-0.3708
14.38,-0.218,0.369,0.2218,-0.3715
14.385,-0.214,0.371,0.2182,-0.3695
14.39,-0.208,0.373,0.2139,-0.3711
14.395,-0.199,0.374,0.2077,-0.3732
14.4,-0.202,0.372,0.1994,-0.3736
14.405,-0.203,0.371,0.202,-0.3724
14.41,-0.2,0.366,0.2025,-0.3709
14.415,-0.204,0.365,0.2001,-0.3658
14.42,-0.204,0.364,0.2044,-0.365
14.425,-0.207,0.363,0.2044,-0.3643
14.43,-0.207,0.365,0.207,-0.3627
14.435,-0.215,0.362,0.2074,-0.3651
14.44,-0.223,0.362,0.2153,-0.3623
14.445,-0.228,0.361,0.2234,-0.3624
14.45,-0.225,0.366,0.2282,-0.3612
14.455,-0.228,0.37,0.2253,-0.3658
14.46,-0.234,0.369,0.2283,-0.3705
14.465,-0.235,0.366,0.2337,-0.3689
14.47,-0.234,0.368,0.2347,-0.3657
14.475,-0.224,0.365,0.2337,-0.3679
14.48,-0.219,0.361,0.2239,-0.3654
14.485,-0.216,0.358,0.2186,-0.3611
14.49,-0.212,0.364,0.2158,-0.3578
14.495,-0.212,0.362,0.2118,-0.3636
14.5,-0.211,0.365,0.2123,-0.362
14.505,-0.211,0.372,0.2113,-0.3654
14.51,-0.209,0.376,0.211,-0.3717
14.515,-0.21,0.381,0.2093,-0.376
14.52,-0.215,0.379,0.2104,-0.3814
14.525,-0.222,0.382,0.2148,-0.3794
14.53,-0.227,0.383,0.2223,-0.3825
14.535,-0.236,0.381,0.2272,-0.3827
14.54,-0.242,0.38,0.236,-0.3809
14.545,-0.236,0.383,0.2423,-0.3799
14.55,-0.24,0.381,0.2363,-0.3835
14.555,-0.246,0.377,0.2403,-0.3807
14.56,-0.245,0.377,0.246,-0.3766
14.565,-0.256,0.368,0.2452,-0.3774
14.57,-0.256,0.37,0.2558,-0.3684
14.575,-0.251,0.375,0.2562,-0.3698
14.58,-0.249,0.376,0.2512,-0.3753
14.585,-0.245,0.375,0.2492,-0.3756
14.59,-0.246,0.376,0.2454,-0.3746
14.595,-0.248,0.381,0.246,-0.376
14.6,-0.246,0.38,0.2475,-0.3815
14.605,-0.247,0.38,0.2461,-0.3804
14.61,-0.243,0.377,0.2472,-0.3801
14.615,-0.241,0.376,0.2435,-0.3769
14.62,-0.241,0.377,0.2406,-0.3763
14.625,-0.239,0.38,0.2406,-0.3767
14.63,-0.232,0.382,0.239,-0.3802
14.635,-0.233,0.379,0.2325,-0.3821
14.64,-0.225,0.382,0.2335,-0.3789
14.645,-0.221,0.383,0.2254,-0.3823
14.65,-0.223,0.375,0.2206,-0.3834
14.655,-0.225,0.369,0.223,-0.375
14.66,-0.232,0.359,0.2253,-0.369
14.665,-0.232,0.355,0.2318,-0.3586
14.67,-0.23,0.351,0.232,-0.3545
14.675,-0.244,0.347,0.2302,-0.3507
14.68,-0.245,0.349,0.2438,-0.3472
14.685,-0.243,0.346,0.2452,-0.3488
14.69,-0.238,0.356,0.2431,-0.3457
14.695,-0.23,0.367,0.2383,-0.3563
14.7,-0.233,0.373,0.2303,-0.367
14.705,-0.233,0.372,0.2329,-0.3726
14.71,-0.236,0.368,0.2335,-0.3723
14.715,-0.238,0.37,0.2364,-0.3678
14.72,-0.237,0.372,0.2383,-0.3704
14.725,-0.237,0.375,0.2366,-0.3717
14.73,-0.234,0.369,0.2368,-0.3748
14.735,-0.236,0.367,0.2342,-0.369
14.74,-0.232,0.364,0.2362,-0.3672
14.745,-0.236,0.362,0.2325,-0.3636
14.75,-0.239,0.362,0.2363,-0.3622
14.755,-0.243,0.356,0.2394,-0.3621
14.76,-0.246,0.35,0.2429,-0.356
14.765,-0.245,0.353,0.246,-0.3505
14.77,-0.25,0.35,0.2447,-0.3532
14.775,-0.251,0.359,0.2497,-0.3501
14.78,-0.246,0.357,0.2508,-0.3586
14.785,-0.251,0.353,0.2462,-0.3567
14.79,-0.246,0.358,0.2507,-0.3528
14.795,-0.25,0.35,0.2458,-0.3584
14.8,-0.248,0.351,0.2498,-0.3498
14.805,-0.245,0.357,0.2482,-0.3511
14.81,-0.244,0.356,0.2446,-0.3566
14.815,-0.247,0.357,0.2444,-0.3563
14.82,-0.24,0.357,0.2466,-0.3571
14.825,-0.238,0.357,0.2402,-0.3571
14.83,-0.238,0.355,0.2381,-0.3566
14.835,-0.232,0.357,0.2375,-0.3553
14.84,-0.227,0.354,0.2321,-0.3568
14.845,-0.226,0.358,0.2274,-0.3545
14.85,-0.23,0.35,0.2262,-0.3581
14.855,-0.231,0.35,0.2297,-0.3497
14.86,-0.238,0.35,0.231,-0.3495
14.865,-0.247,0.349,0.2376,-0.3503
14.87,-0.247,0.355,0.2466,-0.349
14.875,-0.249,0.356,0.2466,-0.3553
14.88,-0.248,0.356,0.2491,-0.356
14.885,-0.246,0.353,0.2478,-0.3561
14.89,-0.25,0.356,0.2465,-0.3528
14.895,-0.25,0.354,0.2501,-0.3557
14.9,-0.25,0.353,0.2495,-0.354
14.905,-0.255,0.354,0.2497,-0.353
14.91,-0.251,0.355,0.2551,-0.3537
14.915,-0.252,0.346,0.2513,-0.3549
14.92,-0.251,0.346,0.252,-0.3463
14.925,-0.247,0.348,0.2511,-0.3462
14.93,-0.244,0.351,0.2474,-0.3481
14.935,-0.246,0.346,0.2439,-0.3507
14.94,-0.24,0.344,0.2458,-0.3461
14.945,-0.239,0.345,0.24,-0.3444
14.95,-0.235,0.345,0.2386,-0.3452
14.955,-0.233,0.345,0.2346,-0.3452
14.96,-0.236,0.341,0.2335,-0.3448
14.965,-0.235,0.342,0.2364,-0.3408
14.97,-0.227,0.344,0.235,-0.3421
14.975,-0.224,0.342,0.2274,-0.3435
14.98,-0.225,0.337,0.2242,-0.3416
14.985,-0.222,0.335,0.2253,-0.3369
14.99,-0.219,0.341,0.2224,-0.3354
14.995,-0.222,0.342,0.2195,-0.3413
