run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scenario,scene_label
1,0,patrol,safe,no person detected; risk=safe,35.2,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",454.2,489.4,,claude,clear_room,door_open
1,1,patrol,safe,no person detected; risk=safe,36.3,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",217.5,253.8,,claude,clear_room,door_open
1,2,patrol,safe,no person detected; risk=safe,33.3,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",213.5,246.8,,claude,clear_room,door_open
2,0,patrol,safe,no person detected; risk=safe,53.3,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",231.9,285.2,,claude,clear_room,door_open
3,0,patrol,safe,no person detected; risk=safe,54.5,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",207.9,262.4,,claude,clear_room,door_open
3,1,patrol,safe,no person detected; risk=safe,37.3,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",214.5,251.8,,claude,clear_room,door_open
3,2,patrol,safe,no person detected; risk=safe,29.8,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",211.8,241.6,,claude,clear_room,door_open
5,0,patrol,safe,no person detected; risk=safe,37.6,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",240.4,278.0,,claude,clear_room,door_open
5,1,patrol,safe,no person detected; risk=safe,37.7,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",230.7,268.4,,claude,clear_room,door_open
5,2,patrol,safe,no person detected; risk=safe,37.4,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",236.2,273.6,,claude,clear_room,door_open
1,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",254.9,289.6,,claude,alert_room,person_near
1,1,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,20.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",226.6,247.5,,claude,alert_room,person_near
1,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",246.2,279.3,,claude,alert_room,person_near
1,3,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,32.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",244.0,276.2,,claude,alert_room,person_near
2,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,46.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",230.2,277.0,,claude,alert_room,person_near
2,1,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",257.1,288.0,,claude,alert_room,person_near
2,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,31.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.6,254.8,,claude,alert_room,person_near
2,3,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",236.1,265.4,,claude,alert_room,person_near
2,4,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",228.2,262.4,,claude,alert_room,person_near
3,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",244.9,274.5,,claude,alert_room,person_near
3,1,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,49.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",247.9,297.4,,claude,alert_room,person_near
3,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",216.7,250.9,,claude,alert_room,person_near
3,3,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",237.2,272.1,,claude,alert_room,person_near
4,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,53.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.5,277.2,,claude,alert_room,person_near
