metric,value
n_runs,15
n_pass,14
success_rate,0.933
success_rate_ci_lo,0.702
success_rate_ci_hi,0.988
correct_target_rate,1.0
correct_target_ci_lo,0.796
correct_target_ci_hi,1.0
no_rearm_rate,0.933
no_rearm_ci_lo,0.702
no_rearm_ci_hi,0.988
alt_error_mean_cm,40.4
alt_error_std_cm,150.28
alt_error_ci_lo_cm,0.15
alt_error_ci_hi_cm,120.77
tools_before_set_mean,0.53
tools_before_set_std,1.26
ref_ReAct,"Yao, S., Zhao, J., Yu, D., Du, N., Shafran, I., Narasimhan, K., & Cao, Y. (2022). ReAct: Synergizing Reasoning and Acting in Language Models. arXiv:2210.03629. Correction is processed as a new observation in the running ReAct loop."
ref_InnerMonologue,"Huang, W., et al. (2022). Inner Monologue: Embodied Reasoning through Planning with Language Models. arXiv:2207.05608. LLM infers current drone state from conversation history to avoid unnecessary re-arm."
