metric,value
n_runs,5
n_pass,3
success_rate,0.6
success_rate_ci_lo,0.231
success_rate_ci_hi,0.882
landing_called_rate,0.8
landing_ci_lo,0.376
landing_ci_hi,0.964
disarmed_rate,0.8
disarmed_ci_lo,0.376
disarmed_ci_hi,0.964
wall_latency_mean_s,9.073
wall_latency_std_s,4.269
wall_latency_ci_lo_s,5.338
wall_latency_ci_hi_s,12.808
api_calls_mean,4.2
api_calls_std,1.83
api_calls_ci_lo,2.6
api_calls_ci_hi,5.8
ref_ReAct,"Yao, S., Zhao, J., Yu, D., Du, N., Shafran, I., Narasimhan, K., & Cao, Y. (2022). ReAct: Synergizing Reasoning and Acting in Language Models. arXiv:2210.03629. Safety override is a high-priority single-step ReAct cycle: override intent→land action."
ref_Vemprala2023,"Vemprala, S., Bonatti, R., Bucker, A., & Kapoor, A. (2023). ChatGPT for Robotics: Design Principles and Model Abilities. MSR-TR-2023-8. arXiv:2306.17582. Safety command latency (API calls to land) compared against prior UAV LLM latency benchmarks."
